D, mkm;m;X, mm;\sigma_X;D_c, mm;mkm;\sigma_D_c
10;1;142;1;0,01176;11,76;0,00008
10;2;286;1;0,01168;11,68;0,00004
60;1;28;1;0,060;59,66;0,002
60;2;54;1;0,0619;61,87;0,0011
100;1;17;1;0,098;98,27;0,006
100;2;33;1;0,101;101,25;0,003
200;1;8;1;0,209;208,82;0,03
200;2;17;1;0,197;196,54;0,012
200;3;25;1;0,200;200,47;0,008
300;1;6;1;0,28;278,43;0,05
300;2;11;1;0,30;303,74;0,03
400;1;4;1;0,42;417,65;0,10
400;2;9;1;0,37;371,24;0,04
580;1;3;1;0,56;556,86;0,19
580;2;6;1;0,56;556,86;0,09
